customer_id,age,city,account_age_days,avg_transaction_amount,transactions_per_month
C1053,43,Ahmedabad,2124,574.65,7
C1054,19,Mumbai,1174,346.05,48
C1055,37,Ahmedabad,2291,4563.06,46
C1056,45,Pune,2316,2616.9,10
C1057,64,Pune,1109,4752.1,43
C1058,24,Hyderabad,2427,3487.79,56
C1059,61,Ahmedabad,136,2733.55,27
C1060,25,Ahmedabad,2908,2348.56,54
C1061,64,Ahmedabad,77,3337.17,47
C1062,52,Kolkata,366,2152.87,23
C1063,31,Delhi,1079,2342.75,73
C1064,34,Mumbai,2881,1708.38,55
C1065,53,Hyderabad,1310,1453.49,15
C1066,67,Ahmedabad,2085,2116.97,16
C1067,57,Ahmedabad,654,656.27,12
C1068,21,Bengaluru,1920,1997.0,28
C1069,19,Hyderabad,1306,821.34,45
C1070,23,Ahmedabad,1745,3330.02,40
C1071,59,Hyderabad,2796,2062.71,59
C1072,21,Delhi,332,1380.55,13
C1073,46,Bengaluru,668,1610.32,51
C1074,35,Hyderabad,85,3613.98,19
C1075,43,Mumbai,755,2715.03,52
C1076,61,Mumbai,555,3841.49,46
C1077,51,Pune,503,2247.75,64
C1078,27,Bengaluru,57,2448.24,74
C1079,53,Bengaluru,2155,3299.2,16
C1080,31,Pune,394,1764.17,6
C1081,48,Hyderabad,2743,1862.08,11
C1082,65,Bengaluru,555,2238.82,7
C1083,32,Mumbai,2776,3131.21,7
C1084,25,Mumbai,1365,4351.9,31
C1085,31,Ahmedabad,912,3321.36,44
C1086,40,Delhi,1060,7385.96,37
C1087,57,Bengaluru,1056,2608.7,5
C1088,38,Hyderabad,1676,2370.98,12
C1089,33,Pune,948,4730.27,36
C1090,62,Pune,2827,3409.15,52
C1091,35,Hyderabad,2440,2201.81,8
C1092,64,Kolkata,1804,4216.42,74
C1093,41,Chennai,1561,1655.99,23
C1094,43,Delhi,2883,2333.93,36
C1095,42,Pune,2816,3117.53,13
C1096,62,Bengaluru,1936,2117.07,16
C1097,58,Delhi,1245,2074.41,15
C1098,46,Bengaluru,1684,2513.93,50
C1099,32,Kolkata,514,2433.22,20
C1100,62,Mumbai,2105,4032.86,5
C1101,18,Delhi,743,3178.62,67
C1102,42,Ahmedabad,1092,6211.84,25
C1103,24,Pune,2006,4169.59,34
C1104,26,Delhi,1326,2460.92,17
C1105,41,Delhi,1284,1807.43,38
C1106,18,Delhi,2163,1319.04,8
C1107,61,Chennai,155,2824.9,32
C1108,25,Delhi,2889,1630.0,63
C1109,41,Bengaluru,566,2319.88,31
C1110,28,Mumbai,2222,3197.12,73
C1111,68,Kolkata,2102,1722.69,29
C1112,34,Hyderabad,1633,3333.8,7
C1113,25,Delhi,96,5140.99,72
C1114,52,Pune,262,2862.99,29
C1115,52,Delhi,2186,2058.83,24
C1116,50,Pune,1199,1666.23,38
C1117,22,Bengaluru,2188,2091.85,30
C1118,59,Pune,2305,2637.31,9
C1119,56,Ahmedabad,140,4336.34,65
C1120,58,Hyderabad,1523,2073.31,13
C1121,45,Mumbai,2111,3558.76,54
C1122,24,Pune,652,3397.58,10
C1123,26,Pune,2825,3526.49,64
C1124,25,Mumbai,2672,3931.94,48
C1125,29,Hyderabad,2502,6220.74,15
C1126,51,Delhi,2690,1518.07,70
C1127,50,Pune,1571,4237.84,51
C1128,65,Mumbai,2769,1815.83,7
C1129,40,Ahmedabad,1335,2227.37,34
C1130,41,Ahmedabad,1791,1086.59,25
C1131,54,Bengaluru,2005,2495.71,32
C1132,52,Mumbai,2392,4295.65,66
C1133,61,Bengaluru,906,3049.22,37
C1134,57,Ahmedabad,2019,3232.65,39
C1135,39,Hyderabad,1342,664.56,56
C1136,44,Delhi,1490,1696.14,38
C1137,52,Mumbai,2739,1478.38,45
C1138,18,Kolkata,2354,3335.98,55
C1139,52,Ahmedabad,1763,1136.23,51
C1140,54,Ahmedabad,1635,7703.81,62
C1141,64,Kolkata,1556,2169.48,61
C1142,31,Chennai,2701,1117.21,27
C1143,20,Ahmedabad,2593,1608.85,52
C1144,18,Pune,2920,3858.3,26
C1145,22,Hyderabad,2427,2165.75,21
C1146,43,Mumbai,1660,996.98,73
C1147,31,Kolkata,2900,934.83,15
C1148,56,Pune,1190,3279.34,19
C1149,44,Kolkata,788,3019.25,39
C1150,26,Mumbai,2976,1278.85,37
C1151,32,Bengaluru,272,2793.04,20
C1152,32,Mumbai,2620,2320.89,38
C1153,43,Chennai,1093,1331.08,70
C1154,59,Mumbai,258,5256.86,44
C1155,30,Mumbai,2625,4393.95,32
C1156,68,Chennai,949,3509.46,51
C1157,49,Hyderabad,1276,3863.14,43
C1158,56,Ahmedabad,35,3692.51,74
C1159,66,Mumbai,497,1969.05,24
C1160,69,Chennai,1785,2439.1,5
C1161,49,Pune,104,4330.41,67
C1162,21,Bengaluru,33,1597.83,71
C1163,47,Bengaluru,1900,4018.94,8
C1164,54,Mumbai,675,2499.34,62
C1165,40,Hyderabad,147,964.34,29
C1166,56,Hyderabad,2958,1182.48,51
C1167,62,Pune,1659,3825.34,42
C1168,32,Mumbai,2581,3191.37,19
C1169,60,Bengaluru,2051,2667.26,67
C1170,46,Hyderabad,976,3754.25,25
C1171,53,Mumbai,2651,2906.82,61
C1172,30,Kolkata,1494,2152.84,57
C1173,49,Hyderabad,223,3135.7,50
C1174,24,Chennai,876,4583.32,18
C1175,68,Kolkata,2792,6570.69,21
C1176,39,Ahmedabad,1445,4308.19,43
C1177,45,Hyderabad,1488,5409.84,13
C1178,19,Bengaluru,2250,1812.12,10
C1179,59,Delhi,1698,7146.1,27
C1180,62,Kolkata,2403,1852.83,63
C1181,23,Ahmedabad,1463,3221.81,50
C1182,45,Pune,1171,2911.85,42
C1183,45,Pune,2913,1019.63,18
C1184,61,Bengaluru,1840,4360.42,66
C1185,61,Hyderabad,753,2148.26,39
C1186,37,Mumbai,254,1498.6,23
C1187,47,Hyderabad,561,3078.55,34
C1188,28,Bengaluru,142,1857.51,29
C1189,45,Pune,2217,4227.34,44
C1190,42,Hyderabad,588,2026.86,18
C1191,56,Pune,2078,2413.37,30
C1192,50,Kolkata,2167,5169.91,26
C1193,18,Ahmedabad,683,1869.37,52
C1194,44,Mumbai,349,2478.73,55
C1195,69,Kolkata,1603,4601.88,7
C1196,30,Pune,1858,3010.88,46
C1197,58,Pune,1947,1375.85,23
C1198,20,Delhi,168,980.78,32
C1199,56,Delhi,2922,1779.72,49
C1200,23,Kolkata,2056,3306.55,67
C1201,25,Chennai,2336,5350.68,23
C1202,44,Kolkata,931,4516.74,51
C1203,26,Delhi,719,1554.18,18
C1204,54,Pune,2069,2190.43,42
C1205,50,Bengaluru,39,5237.08,57
C1206,68,Kolkata,290,786.05,65
C1207,59,Pune,1972,2751.26,40
C1208,61,Bengaluru,1703,1544.22,44
C1209,41,Bengaluru,2249,5482.06,34
C1210,32,Delhi,2975,5074.96,13
C1211,49,Kolkata,2090,3001.26,68
C1212,49,Hyderabad,1221,1997.27,37
C1213,41,Mumbai,1649,6046.48,56
C1214,58,Delhi,350,1671.41,18
C1215,69,Delhi,1372,3248.98,57
C1216,66,Hyderabad,1666,2532.02,63
C1217,66,Mumbai,2406,4785.99,45
C1218,69,Pune,2862,812.02,72
C1219,29,Chennai,2854,3449.43,72
C1220,56,Kolkata,2024,3919.62,12
C1221,19,Chennai,2988,5178.37,6
C1222,20,Pune,1973,1971.09,45
C1223,66,Ahmedabad,2068,1822.49,59
C1224,54,Delhi,1148,1635.87,20
C1225,66,Mumbai,1634,1728.26,66
C1226,34,Delhi,2395,5479.71,52
C1227,66,Bengaluru,265,3561.31,34
C1228,19,Delhi,1999,852.54,16
C1229,19,Delhi,363,3112.25,39
C1230,45,Pune,1938,1217.83,15
C1231,40,Pune,405,2499.65,68
C1232,54,Pune,1190,2461.25,54
C1233,49,Chennai,2665,2539.61,25
C1234,50,Bengaluru,1600,1537.05,73
C1235,18,Ahmedabad,2590,3081.13,52
C1236,36,Ahmedabad,1349,3619.87,24
C1237,19,Pune,2995,1091.32,71
C1238,61,Mumbai,1885,2628.81,48
C1239,43,Chennai,1402,2604.6,37
C1240,49,Hyderabad,902,3299.02,65
C1241,23,Mumbai,1282,2568.25,13
C1242,49,Kolkata,2347,662.18,72
C1243,21,Kolkata,1881,3869.82,39
C1244,28,Mumbai,2875,3615.06,69
C1245,34,Pune,1344,1882.07,12
C1246,55,Hyderabad,754,2042.25,49
C1247,41,Hyderabad,2082,1759.83,51
C1248,22,Chennai,2928,3792.74,44
C1249,69,Hyderabad,107,2194.45,58
C1250,51,Kolkata,2651,1973.53,50
C1251,23,Bengaluru,161,3878.54,51
C1252,39,Pune,630,4184.38,19
C1253,28,Hyderabad,1802,909.32,23
C1254,65,Chennai,1095,3744.37,30
C1255,33,Kolkata,2166,502.71,56
C1256,50,Bengaluru,2479,1993.09,26
C1257,26,Delhi,2373,2328.98,25
C1258,23,Delhi,1893,4503.5,55
C1259,33,Bengaluru,1348,3433.24,42
C1260,46,Kolkata,645,795.73,24
C1261,20,Chennai,2877,2610.57,33
C1262,37,Bengaluru,2499,5269.52,55
C1263,53,Pune,1918,2835.9,8
C1264,36,Pune,1076,2031.84,59
C1265,43,Delhi,604,4488.48,32
C1266,20,Hyderabad,2220,2551.79,8
C1267,36,Chennai,1022,2919.19,26
C1268,37,Delhi,2742,955.48,49
C1269,49,Hyderabad,2222,2250.14,71
C1270,24,Hyderabad,1278,6294.01,70
C1271,69,Ahmedabad,532,2765.84,38
C1272,58,Pune,2027,1431.57,59
C1273,50,Kolkata,850,2599.93,5
C1274,57,Mumbai,2181,1223.76,42
C1275,56,Kolkata,2000,2460.3,10
C1276,35,Mumbai,227,1680.66,29
C1277,57,Bengaluru,1699,1369.1,21
C1278,18,Pune,2656,2188.14,65
C1279,28,Hyderabad,2468,3604.01,16
C1280,45,Chennai,1232,3070.2,10
C1281,42,Mumbai,2631,447.97,31
C1282,67,Kolkata,1501,2720.87,12
C1283,40,Hyderabad,1676,6822.58,69
C1284,48,Mumbai,1722,1223.12,61
C1285,47,Mumbai,1342,3071.07,44
C1286,59,Ahmedabad,2065,2823.31,18
C1287,52,Mumbai,507,5013.33,39
C1288,24,Chennai,1284,3424.65,52
C1289,33,Pune,952,3039.48,60
C1290,43,Chennai,449,1694.98,53
C1291,65,Delhi,2234,2999.78,17
C1292,69,Hyderabad,2627,3111.24,65
C1293,66,Pune,1150,1925.61,53
C1294,19,Ahmedabad,980,1716.68,50
C1295,18,Pune,2366,1330.39,66
C1296,65,Pune,1307,1008.13,12
C1297,29,Kolkata,2273,3527.88,47
C1298,22,Pune,2675,1840.65,24
C1299,54,Ahmedabad,1887,1567.11,43
C1300,49,Chennai,546,652.4,53
C1301,26,Pune,1688,594.46,68
C1302,58,Bengaluru,1895,4055.95,66
C1303,52,Hyderabad,2942,1746.55,58
C1304,36,Pune,1171,2607.95,13
C1305,65,Hyderabad,2883,2726.83,41
C1306,33,Bengaluru,1962,795.2,53
C1307,20,Bengaluru,844,5171.53,45
C1308,37,Hyderabad,2305,1255.08,21
C1309,41,Mumbai,1930,6372.97,25
C1310,50,Delhi,2293,2646.55,55
C1311,41,Kolkata,2092,1658.86,63
C1312,69,Mumbai,2124,1192.6,43
C1313,28,Mumbai,2401,3493.71,59
C1314,66,Chennai,2921,2188.57,45
C1315,25,Kolkata,159,1736.99,43
C1316,53,Kolkata,124,606.74,17
C1317,55,Mumbai,2704,1630.61,68
C1318,57,Pune,2832,2525.54,15
C1319,37,Chennai,1985,2916.0,23
C1320,52,Chennai,823,844.78,15
C1321,65,Bengaluru,1864,678.86,50
C1322,42,Ahmedabad,2146,422.72,49
C1323,52,Kolkata,1713,1769.0,5
C1324,42,Mumbai,40,1504.81,44
C1325,46,Bengaluru,1895,3591.88,23
C1326,35,Hyderabad,2949,3634.21,65
C1327,63,Delhi,2627,1571.73,16
C1328,35,Ahmedabad,741,1076.14,65
C1329,19,Ahmedabad,2100,2408.32,37
C1330,52,Ahmedabad,844,1576.07,49
C1331,33,Chennai,375,1127.05,73
C1332,58,Hyderabad,2379,2456.02,12
C1333,53,Ahmedabad,392,808.57,29
C1334,50,Hyderabad,2473,3026.08,50
C1335,21,Pune,2295,1735.0,34
C1336,50,Ahmedabad,2218,2410.03,51
C1337,31,Delhi,1014,369.01,53
C1338,38,Hyderabad,1669,4940.08,51
C1339,65,Hyderabad,857,4134.59,22
C1340,37,Delhi,2760,1924.6,70
C1341,25,Ahmedabad,385,1823.5,72
C1342,24,Delhi,1377,3458.1,37
C1343,20,Hyderabad,2965,2539.1,40
C1344,34,Delhi,1893,3812.65,23
C1345,50,Hyderabad,156,817.15,32
C1346,65,Hyderabad,633,1750.47,44
C1347,29,Pune,1958,3848.26,19
C1348,68,Mumbai,1043,1459.74,45
C1349,39,Hyderabad,80,2875.76,43
C1350,39,Ahmedabad,2856,2233.71,6
C1351,63,Bengaluru,1460,2284.37,67
C1352,47,Chennai,1822,3365.07,33
C1353,55,Kolkata,2891,2569.68,70
C1354,55,Mumbai,1666,2441.07,55
C1355,62,Mumbai,1675,2080.21,14
C1356,68,Mumbai,2497,1004.51,18
C1357,25,Pune,1235,2766.17,55
C1358,44,Hyderabad,2902,3345.57,43
C1359,44,Pune,1884,4721.9,32
C1360,51,Hyderabad,596,1548.72,7
C1361,38,Ahmedabad,2448,3707.66,74
C1362,47,Pune,965,5038.65,31
C1363,50,Pune,1964,4667.19,6
C1364,45,Chennai,2738,1668.4,42
C1365,64,Bengaluru,1362,1760.2,7
C1366,50,Pune,231,3748.43,20
C1367,22,Chennai,2390,3392.16,44
C1368,65,Delhi,146,2919.67,6
C1369,36,Bengaluru,966,494.77,45
C1370,21,Ahmedabad,604,2978.02,16
C1371,52,Pune,2321,2241.69,39
C1372,66,Kolkata,566,4711.63,69
C1373,34,Mumbai,1655,1898.44,59
C1374,61,Delhi,2152,3039.48,49
C1375,45,Delhi,415,1111.61,66
C1376,47,Ahmedabad,504,1110.93,53
C1377,46,Chennai,447,3127.32,29
C1378,63,Delhi,2424,962.46,27
C1379,23,Bengaluru,2717,1496.03,28
C1380,52,Pune,968,1571.12,42
C1381,58,Pune,984,1814.44,32
C1382,54,Kolkata,905,3492.63,25
C1383,41,Ahmedabad,792,1076.03,58
C1384,46,Mumbai,1232,1988.27,22
C1385,66,Chennai,1235,4024.66,40
C1386,63,Mumbai,693,2785.6,49
C1387,48,Delhi,54,1527.19,57
C1388,52,Ahmedabad,2020,2120.66,34
C1389,50,Kolkata,1233,1903.36,64
C1390,69,Mumbai,739,3249.7,36
C1391,38,Bengaluru,1909,3120.63,71
C1392,49,Pune,1214,876.38,71
C1393,40,Delhi,2254,2025.68,32
C1394,50,Kolkata,314,2335.03,48
C1395,20,Mumbai,92,2738.03,45
C1396,35,Chennai,1032,3598.46,67
C1397,42,Bengaluru,691,4419.33,27
C1398,59,Bengaluru,2743,2388.4,52
C1399,48,Mumbai,2233,1721.94,36
C1400,20,Pune,1522,1208.37,61
C1401,57,Mumbai,996,704.23,37
C1402,63,Delhi,878,2210.85,28
C1403,41,Mumbai,1137,1540.35,43
C1404,67,Bengaluru,718,2614.9,38
C1405,49,Kolkata,177,2718.29,60
C1406,64,Mumbai,371,1400.89,32
C1407,39,Pune,2553,1383.05,41
C1408,40,Ahmedabad,1116,3904.55,11
C1409,19,Kolkata,1754,2305.15,72
C1410,44,Chennai,1413,1265.44,41
C1411,59,Hyderabad,2638,2286.46,60
C1412,19,Mumbai,356,7132.41,69
C1413,43,Pune,1822,2982.91,69
C1414,34,Kolkata,1789,2695.31,51
C1415,57,Pune,1019,1357.3,24
C1416,50,Chennai,2292,498.61,23
C1417,26,Bengaluru,2512,3927.02,33
C1418,60,Pune,981,2667.26,64
C1419,65,Kolkata,752,3126.76,22
C1420,56,Pune,2109,3516.57,39
C1421,46,Pune,2747,1925.98,47
C1422,59,Pune,2362,1073.65,15
C1423,43,Delhi,458,3278.31,53
C1424,52,Delhi,1530,1033.11,42
C1425,67,Bengaluru,315,2701.39,68
C1426,42,Mumbai,2095,1432.02,73
C1427,41,Pune,798,3807.1,12
C1428,30,Chennai,2667,2831.93,38
C1429,24,Mumbai,1424,1575.77,52
C1430,53,Chennai,223,1109.6,60
C1431,62,Mumbai,2579,2322.36,69
C1432,37,Bengaluru,1017,3616.78,35
C1433,18,Pune,1166,3703.54,8
C1434,25,Pune,2191,3978.92,54
C1435,63,Hyderabad,1731,2659.28,73
C1436,33,Chennai,976,4622.37,34
C1437,31,Mumbai,860,2720.18,63
C1438,29,Mumbai,1950,1406.41,71
C1439,68,Ahmedabad,84,1639.03,49
C1440,40,Ahmedabad,829,4166.19,8
C1441,32,Delhi,807,1403.97,30
C1442,45,Hyderabad,1511,1286.18,31
C1443,51,Kolkata,1931,4963.17,50
C1444,19,Ahmedabad,2239,2696.74,68
C1445,49,Kolkata,2164,2704.72,55
C1446,40,Delhi,84,3658.54,54
C1447,39,Delhi,1853,3606.82,10
C1448,68,Delhi,1231,2236.24,63
C1449,42,Chennai,862,4407.72,19
C1450,39,Chennai,342,5133.02,34
C1451,39,Bengaluru,2836,1066.65,46
C1452,66,Bengaluru,1888,2940.47,41
C1453,69,Delhi,2037,1388.12,46
C1454,59,Hyderabad,2036,1861.71,39
C1455,23,Mumbai,2520,1121.95,10
C1456,32,Chennai,1820,5659.68,72
C1457,60,Hyderabad,357,2484.89,22
C1458,54,Pune,2838,2063.76,33
C1459,50,Chennai,2656,2526.0,63
C1460,25,Chennai,1317,1989.14,51
C1461,61,Bengaluru,2173,2463.62,21
C1462,61,Mumbai,1141,3035.63,26
C1463,22,Mumbai,1341,1442.56,72
C1464,56,Ahmedabad,2891,3192.59,73
C1465,21,Kolkata,2568,1775.08,41
C1466,23,Kolkata,481,2890.34,53
C1467,62,Kolkata,1553,1682.94,17
C1468,49,Kolkata,194,3563.44,38
C1469,69,Pune,211,3757.73,57
C1470,47,Pune,2546,2291.53,55
C1471,64,Chennai,939,6877.78,7
C1472,52,Delhi,2812,2803.94,46
C1473,57,Bengaluru,852,970.71,36
C1474,69,Bengaluru,973,3467.91,55
C1475,33,Kolkata,2031,5386.54,50
C1476,30,Chennai,2084,1678.35,25
C1477,67,Ahmedabad,359,1027.49,48
C1478,59,Hyderabad,804,3426.62,15
C1479,47,Delhi,2228,2240.38,72
C1480,36,Chennai,176,2510.85,5
C1481,34,Delhi,944,2575.18,67
C1482,36,Delhi,1601,1807.64,28
C1483,45,Delhi,1338,1942.4,17
C1484,43,Chennai,2777,1974.18,15
C1485,54,Kolkata,111,2350.64,55
C1486,43,Bengaluru,543,3765.19,21
C1487,40,Bengaluru,1950,1565.31,28
C1488,26,Kolkata,2892,4284.38,23
C1489,29,Delhi,2786,2069.73,41
C1490,18,Hyderabad,1969,4075.91,12
C1491,18,Mumbai,775,6253.52,32
C1492,64,Chennai,1439,2156.77,9
C1493,51,Mumbai,736,2526.19,21
C1494,49,Ahmedabad,500,1219.93,40
C1495,65,Kolkata,425,2564.1,23
C1496,42,Hyderabad,1585,3086.63,68
C1497,57,Chennai,2338,3196.01,15
C1498,62,Kolkata,834,1423.19,58
C1499,18,Delhi,963,3287.04,49
