transaction_id,customer_id,merchant_id,amount,transaction_hour,transaction_day,payment_method,location,device_type
TXN100111,C1181,M500,3340.02,17,30,Credit Card,Ahmedabad,POS Terminal
TXN100112,C1371,M502,2132.56,15,15,Net Banking,Pune,Web
TXN100113,C1023,M561,4992.87,17,26,Debit Card,Chennai,iOS
TXN100114,C1028,M563,2688.57,16,10,Net Banking,Hyderabad,POS Terminal
TXN100115,C1170,M516,1664.66,14,14,Net Banking,Hyderabad,iOS
TXN100116,C1408,M577,4216.74,12,27,Debit Card,Ahmedabad,POS Terminal
TXN100117,C1227,M561,3298.63,18,2,UPI,Bengaluru,POS Terminal
TXN100118,C1377,M534,2516.6,18,10,Credit Card,Chennai,Android
TXN100119,C1187,M512,4114.57,13,19,Credit Card,Hyderabad,Android
TXN100120,C1345,M534,659.82,12,15,Debit Card,Hyderabad,POS Terminal
TXN100121,C1229,M542,4104.91,10,22,Credit Card,Delhi,iOS
TXN100122,C1320,M501,682.52,7,20,Debit Card,Chennai,Web
TXN100123,C1339,M555,3813.41,15,2,Debit Card,Bengaluru,POS Terminal
TXN100124,C1118,M576,3394.37,19,17,Credit Card,Pune,Android
TXN100125,C1155,M550,2815.21,10,3,Net Banking,Mumbai,Android
TXN100126,C1271,M553,2821.43,15,4,UPI,Ahmedabad,iOS
TXN100127,C1174,M515,4454.68,16,25,Credit Card,Chennai,POS Terminal
TXN100128,C1464,M517,3845.29,15,25,Credit Card,Ahmedabad,Web
TXN100129,C1103,M506,4391.52,17,5,UPI,Pune,Android
TXN100130,C1091,M544,2718.92,17,12,Credit Card,Hyderabad,iOS
TXN100131,C1185,M535,1835.19,16,21,Debit Card,Hyderabad,POS Terminal
TXN100132,C1459,M540,2155.23,17,23,Net Banking,Chennai,iOS
TXN100133,C1282,M541,3156.49,10,24,Credit Card,Kolkata,POS Terminal
TXN100134,C1180,M506,1535.93,21,19,Debit Card,Mumbai,Web
TXN100135,C1169,M514,1796.56,17,12,UPI,Bengaluru,iOS
TXN100136,C1186,M559,2041.6,10,5,Credit Card,Mumbai,iOS
TXN100137,C1174,M539,3916.96,12,23,Credit Card,Chennai,iOS
TXN100138,C1221,M536,4234.29,18,15,UPI,Chennai,POS Terminal
TXN100139,C1232,M565,2580.89,15,27,UPI,Pune,Android
TXN100140,C1161,M554,5476.43,17,18,Net Banking,Pune,POS Terminal
TXN100141,C1420,M576,3473.61,15,25,Debit Card,Pune,Web
TXN100142,C1133,M579,3601.82,18,19,UPI,Bengaluru,POS Terminal
TXN100143,C1390,M555,1808.58,16,23,Debit Card,Pune,iOS
TXN100144,C1479,M543,41715.14,1,28,UPI,Kolkata,iOS
TXN100145,C1223,M556,1763.8,18,25,Debit Card,Ahmedabad,Web
TXN100146,C1152,M505,1601.28,12,25,UPI,Mumbai,Android
TXN100147,C1032,M531,1554.9,12,3,Debit Card,Ahmedabad,Web
TXN100148,C1054,M573,326.8,18,2,Debit Card,Mumbai,Android
TXN100149,C1441,M517,28781.25,3,11,Credit Card,Bengaluru,iOS
TXN100150,C1006,M567,1317.51,9,14,Debit Card,Bengaluru,Web
TXN100151,C1243,M572,4371.77,15,21,Credit Card,Mumbai,Android
TXN100152,C1312,M506,1209.43,10,5,Credit Card,Mumbai,Web
TXN100153,C1125,M507,5317.52,9,30,UPI,Hyderabad,iOS
TXN100154,C1011,M563,2380.58,14,13,Credit Card,Delhi,POS Terminal
TXN100155,C1015,M506,3093.99,13,8,Debit Card,Chennai,POS Terminal
TXN100156,C1207,M540,2053.65,10,6,Net Banking,Pune,Android
TXN100157,C1042,M539,3410.11,11,12,Net Banking,Delhi,iOS
TXN100158,C1372,M502,3937.11,10,7,UPI,Kolkata,Web
TXN100159,C1483,M516,2793.0,15,11,Debit Card,Delhi,iOS
TXN100160,C1460,M565,2580.15,12,8,Credit Card,Chennai,Web
TXN100161,C1134,M578,2746.61,14,9,Credit Card,Ahmedabad,Web
TXN100162,C1227,M551,3605.52,12,4,Net Banking,Bengaluru,POS Terminal
TXN100163,C1110,M521,3548.07,16,5,Credit Card,Mumbai,iOS
TXN100164,C1306,M503,908.08,15,4,Credit Card,Bengaluru,Android
TXN100165,C1456,M505,4865.62,10,25,Debit Card,Delhi,Web
TXN100166,C1159,M537,1738.2,16,12,Net Banking,Mumbai,Web
TXN100167,C1330,M525,1927.61,13,18,Debit Card,Ahmedabad,Android
TXN100168,C1263,M510,65239.4,3,29,UPI,Delhi,Android
TXN100169,C1224,M516,1201.17,18,15,UPI,Delhi,Android
TXN100170,C1470,M530,2488.98,20,8,Debit Card,Pune,iOS
TXN100171,C1216,M576,2921.98,23,11,Debit Card,Hyderabad,Android
TXN100172,C1455,M534,951.13,14,14,Net Banking,Mumbai,Web
TXN100173,C1044,M515,2983.5,15,7,Net Banking,Pune,POS Terminal
TXN100174,C1213,M578,7648.38,11,29,Credit Card,Mumbai,POS Terminal
TXN100175,C1058,M517,56281.57,3,16,Credit Card,Delhi,POS Terminal
TXN100176,C1131,M561,1753.7,15,23,UPI,Ahmedabad,POS Terminal
TXN100177,C1103,M526,2826.15,11,8,UPI,Pune,Web
TXN100178,C1194,M534,2074.4,13,29,UPI,Mumbai,iOS
TXN100179,C1412,M544,8670.77,11,27,Net Banking,Mumbai,iOS
TXN100180,C1488,M534,3720.59,9,11,Net Banking,Kolkata,Web
TXN100181,C1156,M527,3269.9,13,1,Debit Card,Chennai,POS Terminal
TXN100182,C1097,M508,1999.93,23,17,UPI,Delhi,Web
TXN100183,C1225,M575,2006.59,14,7,Net Banking,Mumbai,POS Terminal
TXN100184,C1411,M514,2519.72,12,18,Debit Card,Hyderabad,POS Terminal
TXN100185,C1204,M520,3097.25,18,12,Debit Card,Pune,Web
TXN100186,C1078,M551,2791.92,20,20,Net Banking,Bengaluru,iOS
TXN100187,C1123,M534,4752.23,11,28,UPI,Pune,Web
TXN100188,C1470,M550,2840.01,16,22,Debit Card,Kolkata,Web
TXN100189,C1427,M554,4153.78,6,21,Debit Card,Pune,POS Terminal
TXN100190,C1217,M576,5047.45,6,5,UPI,Mumbai,iOS
TXN100191,C1003,M543,1431.12,15,27,UPI,Ahmedabad,Web
TXN100192,C1089,M564,3409.71,15,6,UPI,Pune,Web
TXN100193,C1103,M579,4568.7,12,26,UPI,Pune,Android
TXN100194,C1392,M524,793.86,12,23,Credit Card,Pune,Web
TXN100195,C1118,M546,2230.83,17,2,Net Banking,Pune,Android
TXN100196,C1132,M579,4737.37,9,12,Net Banking,Mumbai,POS Terminal
TXN100197,C1311,M555,2035.86,14,11,Credit Card,Kolkata,iOS
TXN100198,C1095,M537,3309.15,23,4,Credit Card,Pune,iOS
TXN100199,C1467,M510,1592.71,14,7,Net Banking,Chennai,Android
TXN100200,C1433,M566,5308.92,19,5,UPI,Pune,Web
TXN100201,C1330,M514,902.49,16,11,Credit Card,Ahmedabad,POS Terminal
TXN100202,C1142,M500,1138.13,12,30,UPI,Chennai,Android
TXN100203,C1287,M506,4675.27,14,28,Credit Card,Mumbai,iOS
TXN100204,C1027,M500,1099.32,20,16,Debit Card,Pune,POS Terminal
TXN100205,C1277,M548,1285.73,23,10,UPI,Bengaluru,POS Terminal
TXN100206,C1232,M572,2119.66,13,9,Credit Card,Pune,Web
TXN100207,C1016,M528,3648.68,11,6,Credit Card,Mumbai,POS Terminal
TXN100208,C1058,M525,3335.64,12,13,UPI,Hyderabad,Web
TXN100209,C1089,M544,5475.84,13,4,Debit Card,Pune,iOS
TXN100210,C1491,M570,5071.02,13,11,Net Banking,Mumbai,Android
TXN100211,C1198,M511,19170.99,5,11,Credit Card,Hyderabad,Android
TXN100212,C1361,M531,2871.08,16,28,UPI,Ahmedabad,iOS
TXN100213,C1440,M519,3751.98,15,30,Credit Card,Ahmedabad,Web
TXN100214,C1025,M550,3267.79,17,16,Net Banking,Chennai,POS Terminal
TXN100215,C1024,M535,3997.01,13,26,Debit Card,Chennai,POS Terminal
TXN100216,C1393,M566,2627.73,18,20,UPI,Delhi,iOS
TXN100217,C1300,M500,650.84,20,29,Net Banking,Chennai,Web
TXN100218,C1338,M526,5313.6,13,19,Credit Card,Hyderabad,Android
TXN100219,C1266,M539,2325.95,15,29,Net Banking,Hyderabad,Android
TXN100220,C1460,M513,2188.6,17,30,Net Banking,Chennai,Android
TXN100221,C1180,M568,1475.78,15,6,Net Banking,Kolkata,Android
TXN100222,C1455,M578,1029.19,13,24,Credit Card,Kolkata,iOS
TXN100223,C1359,M505,6213.11,17,17,UPI,Chennai,Android
TXN100224,C1067,M532,665.66,23,18,Net Banking,Ahmedabad,iOS
TXN100225,C1494,M554,1356.01,19,4,Debit Card,Ahmedabad,iOS
TXN100226,C1350,M518,1478.24,13,23,Credit Card,Ahmedabad,POS Terminal
TXN100227,C1411,M576,2098.14,18,28,Debit Card,Hyderabad,iOS
TXN100228,C1458,M528,2018.93,20,18,UPI,Pune,POS Terminal
TXN100229,C1490,M560,5288.72,11,11,Credit Card,Hyderabad,Web
TXN100230,C1320,M569,584.98,14,12,Net Banking,Chennai,Android
TXN100231,C1048,M578,2377.06,12,10,Credit Card,Kolkata,Web
TXN100232,C1174,M579,4023.01,17,28,Debit Card,Chennai,Web
TXN100233,C1051,M523,214.2,14,24,Net Banking,Bengaluru,POS Terminal
TXN100234,C1101,M522,3475.44,12,3,Debit Card,Delhi,POS Terminal
TXN100235,C1215,M509,2775.04,22,15,Debit Card,Delhi,POS Terminal
TXN100236,C1437,M553,3300.74,12,18,UPI,Mumbai,iOS
TXN100237,C1187,M540,2334.26,12,16,Debit Card,Hyderabad,Android
TXN100238,C1056,M548,2864.63,14,7,Credit Card,Pune,POS Terminal
TXN100239,C1046,M516,498.92,17,11,UPI,Delhi,POS Terminal
TXN100240,C1158,M555,2855.31,16,28,UPI,Ahmedabad,iOS
TXN100241,C1488,M544,5992.57,15,10,Net Banking,Ahmedabad,Android
TXN100242,C1173,M529,2566.16,13,9,UPI,Hyderabad,Web
TXN100243,C1241,M543,3521.13,16,20,Credit Card,Mumbai,POS Terminal
TXN100244,C1281,M573,502.86,14,18,Debit Card,Mumbai,Web
TXN100245,C1240,M554,4062.28,19,25,UPI,Hyderabad,iOS
TXN100246,C1369,M518,475.52,15,26,UPI,Bengaluru,Android
TXN100247,C1004,M528,2904.61,15,21,Credit Card,Kolkata,POS Terminal
TXN100248,C1083,M501,2937.55,14,13,Credit Card,Mumbai,iOS
TXN100249,C1307,M535,4727.62,15,26,Net Banking,Bengaluru,iOS
TXN100250,C1360,M518,1425.22,15,23,Net Banking,Hyderabad,Web
TXN100251,C1458,M506,1790.54,16,10,Net Banking,Pune,iOS
TXN100252,C1247,M525,1952.54,17,21,Debit Card,Hyderabad,iOS
TXN100253,C1053,M578,639.79,19,12,Debit Card,Ahmedabad,Android
TXN100254,C1160,M537,2515.74,15,13,Net Banking,Chennai,Android
TXN100255,C1433,M502,3300.66,18,21,Debit Card,Pune,Android
TXN100256,C1421,M579,1739.18,8,22,Credit Card,Pune,iOS
TXN100257,C1410,M565,1116.54,18,5,UPI,Chennai,POS Terminal
TXN100258,C1225,M570,1964.16,16,24,UPI,Bengaluru,Android
TXN100259,C1014,M542,1582.51,10,27,Credit Card,Pune,POS Terminal
TXN100260,C1223,M561,2377.42,16,12,Debit Card,Ahmedabad,iOS
TXN100261,C1060,M570,2752.43,16,27,Net Banking,Ahmedabad,Android
TXN100262,C1121,M523,3873.31,16,4,UPI,Mumbai,POS Terminal
TXN100263,C1276,M538,2112.12,22,3,Net Banking,Mumbai,Android
TXN100264,C1045,M567,1631.61,16,14,UPI,Hyderabad,Android
TXN100265,C1452,M543,2811.87,8,3,Credit Card,Bengaluru,POS Terminal
TXN100266,C1389,M504,2010.06,20,2,Debit Card,Ahmedabad,POS Terminal
TXN100267,C1293,M554,792.53,12,8,UPI,Pune,POS Terminal
TXN100268,C1061,M529,3678.67,19,29,Debit Card,Ahmedabad,iOS
TXN100269,C1085,M528,2963.65,21,30,Credit Card,Ahmedabad,Web
TXN100270,C1445,M525,2607.83,14,7,Credit Card,Kolkata,Web
TXN100271,C1209,M525,4493.9,13,22,Debit Card,Delhi,iOS
TXN100272,C1077,M536,1720.1,12,2,UPI,Pune,POS Terminal
TXN100273,C1201,M552,6028.65,14,18,UPI,Chennai,POS Terminal
TXN100274,C1301,M529,732.53,16,26,UPI,Pune,iOS
TXN100275,C1396,M502,4502.37,17,17,Net Banking,Chennai,Web
TXN100276,C1222,M542,1277.28,15,14,Net Banking,Pune,iOS
TXN100277,C1221,M506,4452.33,15,12,Debit Card,Chennai,POS Terminal
TXN100278,C1002,M548,1911.27,23,26,Debit Card,Kolkata,POS Terminal
TXN100279,C1477,M572,821.92,17,18,UPI,Ahmedabad,Android
TXN100280,C1005,M540,998.96,11,25,Credit Card,Pune,Web
TXN100281,C1092,M576,4198.56,20,17,Net Banking,Kolkata,POS Terminal
TXN100282,C1007,M578,4935.32,16,29,Credit Card,Pune,iOS
TXN100283,C1427,M553,4700.81,16,16,UPI,Pune,iOS
TXN100284,C1492,M568,2379.7,9,10,Debit Card,Chennai,Web
TXN100285,C1234,M526,1648.58,15,4,UPI,Bengaluru,iOS
TXN100286,C1107,M507,3642.65,23,2,Credit Card,Chennai,Web
TXN100287,C1160,M531,2583.31,23,5,Credit Card,Chennai,iOS
TXN100288,C1208,M563,1450.75,20,14,Net Banking,Bengaluru,iOS
TXN100289,C1239,M509,3808.6,15,10,Net Banking,Chennai,POS Terminal
TXN100290,C1330,M512,1754.32,16,8,Net Banking,Ahmedabad,Web
TXN100291,C1332,M562,2104.23,17,1,Net Banking,Hyderabad,POS Terminal
TXN100292,C1049,M534,2729.89,16,9,Credit Card,Delhi,Web
TXN100293,C1010,M560,4844.32,15,23,Net Banking,Hyderabad,POS Terminal
TXN100294,C1350,M553,2349.81,8,21,UPI,Ahmedabad,POS Terminal
TXN100295,C1155,M507,3260.08,21,5,UPI,Mumbai,Android
TXN100296,C1491,M528,7074.14,11,9,Credit Card,Mumbai,POS Terminal
TXN100297,C1069,M540,682.35,11,9,Credit Card,Hyderabad,POS Terminal
TXN100298,C1168,M529,3251.7,17,18,Credit Card,Mumbai,iOS
TXN100299,C1271,M520,2557.07,15,24,Credit Card,Ahmedabad,iOS
TXN100300,C1067,M575,667.93,13,5,Debit Card,Ahmedabad,Web
TXN100301,C1354,M510,62936.42,1,30,UPI,Ahmedabad,Android
TXN100302,C1251,M501,4174.14,16,16,Debit Card,Bengaluru,Web
TXN100303,C1047,M549,2086.66,20,2,Credit Card,Hyderabad,iOS
TXN100304,C1183,M540,1312.73,17,25,Credit Card,Pune,Web
TXN100305,C1319,M565,2927.25,13,4,Net Banking,Chennai,iOS
TXN100306,C1186,M502,1471.12,17,21,Debit Card,Mumbai,iOS
TXN100307,C1089,M579,4618.16,20,23,Debit Card,Pune,Web
TXN100308,C1445,M550,2184.85,16,18,Debit Card,Pune,iOS
TXN100309,C1331,M567,986.19,14,5,Net Banking,Chennai,iOS
TXN100310,C1138,M524,3490.39,16,8,Credit Card,Kolkata,Android
TXN100311,C1356,M529,789.26,22,12,UPI,Mumbai,Android
TXN100312,C1088,M510,2009.74,14,14,UPI,Hyderabad,iOS
TXN100313,C1273,M516,2131.35,12,27,Debit Card,Kolkata,iOS
TXN100314,C1018,M525,8170.64,20,17,Net Banking,Chennai,POS Terminal
TXN100315,C1470,M522,1888.18,8,12,Net Banking,Pune,POS Terminal
TXN100316,C1310,M555,2938.79,9,27,Debit Card,Delhi,iOS
TXN100317,C1357,M551,2812.41,17,24,Debit Card,Pune,Android
TXN100318,C1373,M547,2264.89,19,2,Credit Card,Mumbai,iOS
TXN100319,C1465,M519,2129.98,16,4,Debit Card,Kolkata,Android
TXN100320,C1153,M501,1162.71,9,11,Credit Card,Chennai,Android
TXN100321,C1389,M530,1935.0,14,12,Net Banking,Kolkata,POS Terminal
TXN100322,C1259,M526,4104.74,13,19,UPI,Bengaluru,iOS
TXN100323,C1107,M501,3066.39,7,2,Credit Card,Chennai,Android
TXN100324,C1370,M577,2984.74,15,10,Debit Card,Ahmedabad,iOS
TXN100325,C1284,M503,1096.73,8,10,Credit Card,Mumbai,Web
TXN100326,C1058,M512,46252.65,5,2,Net Banking,Chennai,Web
TXN100327,C1124,M534,5084.31,18,26,Net Banking,Mumbai,POS Terminal
TXN100328,C1353,M571,2880.36,10,22,Credit Card,Kolkata,Web
TXN100329,C1272,M565,42072.18,3,19,Credit Card,Mumbai,Web
TXN100330,C1106,M505,1477.21,11,26,Credit Card,Delhi,iOS
TXN100331,C1298,M530,1732.37,10,20,Credit Card,Pune,POS Terminal
TXN100332,C1244,M509,3690.65,14,4,Net Banking,Mumbai,POS Terminal
TXN100333,C1335,M520,1096.65,9,18,Net Banking,Pune,Web
TXN100334,C1449,M573,1790.97,20,20,Credit Card,Chennai,iOS
TXN100335,C1417,M522,3450.03,16,18,UPI,Bengaluru,iOS
TXN100336,C1246,M502,1666.24,21,14,Net Banking,Hyderabad,POS Terminal
TXN100337,C1007,M531,3609.02,19,20,Net Banking,Mumbai,iOS
TXN100338,C1140,M519,7213.59,16,13,UPI,Ahmedabad,iOS
TXN100339,C1361,M573,3802.02,17,24,UPI,Ahmedabad,POS Terminal
TXN100340,C1007,M528,5649.64,16,15,Debit Card,Pune,iOS
TXN100341,C1477,M551,1099.88,12,15,UPI,Ahmedabad,Android
TXN100342,C1351,M545,1984.14,13,25,Debit Card,Bengaluru,POS Terminal
TXN100343,C1483,M533,1601.98,18,20,UPI,Delhi,Web
TXN100344,C1494,M560,1149.54,16,4,Credit Card,Ahmedabad,Android
TXN100345,C1093,M571,1685.08,6,15,Credit Card,Chennai,Android
TXN100346,C1320,M570,943.23,10,14,UPI,Chennai,POS Terminal
TXN100347,C1426,M569,1431.04,20,7,UPI,Mumbai,Web
TXN100348,C1038,M510,3731.31,19,17,Debit Card,Chennai,POS Terminal
TXN100349,C1080,M562,1667.83,6,23,Debit Card,Pune,iOS
TXN100350,C1186,M520,1106.87,12,29,Debit Card,Mumbai,POS Terminal
TXN100351,C1083,M502,2797.0,16,9,Net Banking,Mumbai,iOS
TXN100352,C1087,M509,1956.48,8,4,Credit Card,Bengaluru,Web
TXN100353,C1241,M526,3781.44,15,18,UPI,Mumbai,POS Terminal
TXN100354,C1341,M511,1060.67,22,13,Debit Card,Ahmedabad,Web
TXN100355,C1092,M506,4350.05,18,15,UPI,Kolkata,Web
TXN100356,C1085,M516,3578.95,19,4,UPI,Ahmedabad,Android
TXN100357,C1043,M564,3458.94,15,18,Net Banking,Chennai,POS Terminal
TXN100358,C1136,M563,1909.58,8,10,UPI,Delhi,POS Terminal
TXN100359,C1420,M525,5838.19,23,7,Net Banking,Pune,Android
TXN100360,C1073,M514,1883.22,15,6,Net Banking,Bengaluru,Web
TXN100361,C1035,M532,2277.29,13,13,Net Banking,Hyderabad,POS Terminal
TXN100362,C1100,M561,4730.51,12,28,Credit Card,Mumbai,Web
TXN100363,C1475,M546,4156.0,16,27,Net Banking,Kolkata,Web
TXN100364,C1155,M534,3678.17,12,18,Credit Card,Mumbai,POS Terminal
TXN100365,C1425,M564,2158.34,17,22,Net Banking,Bengaluru,Web
TXN100366,C1254,M571,3047.55,6,9,Net Banking,Chennai,Android
TXN100367,C1170,M575,2931.87,16,11,Net Banking,Hyderabad,Web
TXN100368,C1468,M524,2224.87,6,16,Net Banking,Kolkata,Web
